"character","axis","theta_mean","theta_sd","lo","hi","engagement01","z_prior"
"Bobert Brightshield","N",0.108481904524415,0.633874154386129,-0.8412796855,1.25578299,0.527093910515646,-1.04166666666667
"Bobert Brightshield","T",0.263312936600888,0.76797096816259,-0.852870419,1.661726195,0.565450509902288,0.625
"Bobert Brightshield","O",0.02992411534924,1.29171735739748,-2.02335671,2.14813254,0.507480470645017,1.25
"Bobert Brightshield","S",-0.463901923147517,0.966123071099713,-2.09893658,0.973778724499999,0.386060588409653,-0.833333333333333
"Bobert Brightshield","E",-0.856109846554502,0.98576195335599,-2.58464015,0.595366719,0.298152750445769,-1.25
"Bobert Brightshield","I",0.005876977418659,1.04591543426096,-1.61879458,1.65022521,0.501469240125843,-0.208333333333333
"Bobble Sparkfizz","N",-0.0621137503604062,0.582764577674786,-1.027796025,0.8787408425,0.484476553029828,-0.625
"Bobble Sparkfizz","T",0.335541286414938,0.683915373397991,-0.578384209,1.623281345,0.58310704317469,0
"Bobble Sparkfizz","O",0.0150247700638975,1.10297274761754,-1.70633276,1.74930536,0.503756121856165,-0.625
"Bobble Sparkfizz","S",-0.265497603383346,0.898761721716747,-1.87569801,1.008982135,0.43401275896982,-0.208333333333333
"Bobble Sparkfizz","E",-0.325421123552485,0.806960580911601,-1.82989446,0.647351122999999,0.419355149625861,0
"Bobble Sparkfizz","I",0.005422685602675,1.1136214877467,-1.71045298,1.814821825,0.50135566807866,0.625
"Hopbert Quickfoot","N",-0.345612791089008,0.664572074431767,-1.567809,0.480819525499999,0.414446710547937,-0.416666666666667
"Hopbert Quickfoot","T",-0.304570984987825,0.740610732805041,-1.633396145,0.790011521,0.424440449959567,0.416666666666667
"Hopbert Quickfoot","O",-0.0011905984334675,1.13908726373201,-1.793910795,1.77880095,0.499702350426794,-0.833333333333333
"Hopbert Quickfoot","S",-0.305482411822018,0.88461772057511,-1.88310527,1.010763455,0.424217812158474,-0.416666666666667
"Hopbert Quickfoot","E",0.364467884976657,0.686241041802258,-0.5586586545,1.63603862,0.590121551131039,0.208333333333333
"Hopbert Quickfoot","I",-0.0289881797484938,0.996116172206526,-1.639366315,1.52902471,0.492753462503354,0.208333333333333
"Bearbert Thornhide","N",0.279511538247145,0.663904323616459,-0.7193294385,1.40414439,0.569426466967026,1.45833333333333
"Bearbert Thornhide","T",-0.669894979084912,0.935265218254957,-2.40661398,0.545426196,0.338520357135734,0.625
"Bearbert Thornhide","O",-0.0084380703129585,1.00986352540345,-1.62775502,1.636520995,0.497890494938323,-0.416666666666667
"Bearbert Thornhide","S",0.585553914528713,0.95599616008283,-0.899497704,2.22941585,0.642344358250966,1.04166666666667
"Bearbert Thornhide","E",0.722594246302196,0.820918760331388,-0.600091099,2.06054479,0.673178031778053,1.25
"Bearbert Thornhide","I",0.026043798822245,1.32452679299845,-2.03478155,2.191871505,0.506510581710236,1.25
